"eventdate","mealname","fcst_custcount","served_custcount"
"3/18/2025 0:00","Dinner",600,677
"3/19/2025 0:00","Breakfast",295,305
"3/19/2025 0:00","Lunch",780,820
"3/19/2025 0:00","Dinner",500,591
"3/20/2025 0:00","Breakfast",295,294
"3/20/2025 0:00","Lunch",730,767
"3/20/2025 0:00","Dinner",445,440
"3/21/2025 0:00","Breakfast",230,211
"3/21/2025 0:00","Lunch",720,775
"3/21/2025 0:00","Dinner",380,433
"3/22/2025 0:00","Brunch",325,417
"3/23/2025 0:00","Brunch",425,442
"3/24/2025 0:00","Breakfast",305,277
"3/24/2025 0:00","Lunch",900,905
"3/24/2025 0:00","Dinner",620,577
"3/25/2025 0:00","Breakfast",290,293
"3/25/2025 0:00","Lunch",895,856
"3/25/2025 0:00","Dinner",600,619
"3/26/2025 0:00","Breakfast",295,295
"3/26/2025 0:00","Lunch",780,827
"3/26/2025 0:00","Dinner",485,621
"3/27/2025 0:00","Breakfast",295,279
"3/27/2025 0:00","Lunch",740,800
"3/27/2025 0:00","Dinner",495,517
"3/28/2025 0:00","Breakfast",230,242
"3/28/2025 0:00","Lunch",720,781
"3/28/2025 0:00","Dinner",375,369
"3/29/2025 0:00","Brunch",325,363
"3/30/2025 0:00","Brunch",430,439
"3/31/2025 0:00","Breakfast",305,300
"3/31/2025 0:00","Lunch",900,940
"3/31/2025 0:00","Dinner",620,699
"4/1/2025 0:00","Breakfast",290,311
"4/1/2025 0:00","Lunch",890,888
"4/1/2025 0:00","Dinner",600,616
"4/2/2025 0:00","Breakfast",295,208
"4/2/2025 0:00","Lunch",780,745
"4/2/2025 0:00","Dinner",485,568
"4/3/2025 0:00","Breakfast",295,275
"4/3/2025 0:00","Lunch",845,891
"4/3/2025 0:00","Dinner",470,543
"4/4/2025 0:00","Breakfast",230,252
"4/4/2025 0:00","Lunch",720,861
"4/4/2025 0:00","Dinner",355,470
"4/5/2025 0:00","Brunch",325,392
"4/6/2025 0:00","Brunch",440,460
"4/7/2025 0:00","Breakfast",305,287
"4/7/2025 0:00","Lunch",880,940
"4/7/2025 0:00","Dinner",500,652
"4/8/2025 0:00","Breakfast",305,301
"4/8/2025 0:00","Lunch",880,996
"4/8/2025 0:00","Dinner",500,667
"4/9/2025 0:00","Breakfast",300,261
"4/9/2025 0:00","Lunch",830,869
"4/9/2025 0:00","Dinner",500,619
"4/10/2025 0:00","Breakfast",280,272
"4/10/2025 0:00","Lunch",850,850
"4/10/2025 0:00","Dinner",470,496
"4/11/2025 0:00","Breakfast",245,246
"4/11/2025 0:00","Lunch",730,878
"4/11/2025 0:00","Dinner",325,460
"4/12/2025 0:00","Brunch",350,387
"4/13/2025 0:00","Brunch",390,371
"4/14/2025 0:00","Breakfast",290,287
"4/14/2025 0:00","Lunch",830,919
"4/14/2025 0:00","Dinner",600,576
"4/15/2025 0:00","Breakfast",300,308
"4/15/2025 0:00","Lunch",960,950
"4/15/2025 0:00","Dinner",650,656
"4/16/2025 0:00","Breakfast",240,327
"4/16/2025 0:00","Lunch",860,945
"4/16/2025 0:00","Dinner",575,567
"4/17/2025 0:00","Breakfast",270,290
"4/17/2025 0:00","Lunch",870,881
"4/17/2025 0:00","Dinner",530,506
"4/18/2025 0:00","Breakfast",245,215
"4/18/2025 0:00","Lunch",870,791
"4/18/2025 0:00","Dinner",450,415
"4/19/2025 0:00","Brunch",375,405
"4/20/2025 0:00","Brunch",370,403
"4/21/2025 0:00","Breakfast",285,269
"4/21/2025 0:00","Lunch",930,976
"4/21/2025 0:00","Dinner",580,562
"4/22/2025 0:00","Breakfast",305,311
"4/22/2025 0:00","Lunch",945,719
"4/22/2025 0:00","Dinner",640,520
"8/25/2025 0:00","Breakfast",295,312
"8/25/2025 0:00","Lunch",820,820
"8/25/2025 0:00","Dinner",500,512
"8/26/2025 0:00","Breakfast",305,407
"8/26/2025 0:00","Lunch",880,675
"8/26/2025 0:00","Dinner",580,576
"8/27/2025 0:00","Breakfast",295,380
"8/27/2025 0:00","Lunch",820,830
"8/27/2025 0:00","Dinner",470,844
"8/28/2025 0:00","Breakfast",305,345
"8/28/2025 0:00","Lunch",790,689
"8/28/2025 0:00","Dinner",470,450
"8/29/2025 0:00","Breakfast",260,316
"8/29/2025 0:00","Lunch",730,725
"8/29/2025 0:00","Dinner",325,438
